Name,View Type,Section,Description,Interactions,Related Components,Files & media,Sub-item,Parent item
myapp_mypolls_created_subtab,Subtab,My App,,,,MyPolls_created.jpg,,mypolls_tab (https://www.notion.so/mypolls_tab-24035605529c801ebe9cda11776ab9d1?pvs=21)
myapp_mypolls_voted_subtab,Subtab,My App,,,,MyPolls_voted.jpg,,mypolls_tab (https://www.notion.so/mypolls_tab-24035605529c801ebe9cda11776ab9d1?pvs=21)
myapp_mypolls_saved_subtab,Subtab,My App,,,,MyPolls_saved.jpg,,mypolls_tab (https://www.notion.so/mypolls_tab-24035605529c801ebe9cda11776ab9d1?pvs=21)
myapp_profile_account_subtab,Subtab,My App,,,,Account.jpg,,profile_tab (https://www.notion.so/profile_tab-24035605529c8049b019eb3b166c6f48?pvs=21)
myapp_profile_settings_subtab,Subtab,My App,,,,Settings.jpg,,profile_tab (https://www.notion.so/profile_tab-24035605529c8049b019eb3b166c6f48?pvs=21)
modals,,,,,,,"polview_modal (https://www.notion.so/polview_modal-24035605529c80f692e4d1a42263b601?pvs=21), profile_modal (https://www.notion.so/profile_modal-24035605529c8033a3b4c48467fa6a44?pvs=21)",system views (https://www.notion.so/system-views-24035605529c80dba524d19b2f42fdc5?pvs=21)
polview_modal,Modal,System Views,,,,modal.jpg,,modals (https://www.notion.so/modals-24035605529c8026a5b6e8a15f47d871?pvs=21)
profile_modal,Modal,System Views,,,,user_profile_modal.jpg,,modals (https://www.notion.so/modals-24035605529c8026a5b6e8a15f47d871?pvs=21)
errors,,,,,,,polladd_error (https://www.notion.so/polladd_error-24035605529c80e4898ee6d8761f5355?pvs=21),system views (https://www.notion.so/system-views-24035605529c80dba524d19b2f42fdc5?pvs=21)
polladd_error,Error,System Views,,,,,,errors (https://www.notion.so/errors-24035605529c80e68014cb04f5faa138?pvs=21)
successes,,,,,,,"polladd_success (https://www.notion.so/polladd_success-24035605529c80c59b7cecb027f1a0d9?pvs=21), vote_success (https://www.notion.so/vote_success-24035605529c803790e0ee9870875303?pvs=21)",system views (https://www.notion.so/system-views-24035605529c80dba524d19b2f42fdc5?pvs=21)
vote_success,Toast,System Views,,,,,,successes (https://www.notion.so/successes-24035605529c80329036dae390061266?pvs=21)
polladd_success,Toast,System Views,,,,,,successes (https://www.notion.so/successes-24035605529c80329036dae390061266?pvs=21)
